Процессор Intel Core i3-7100 3.9GHz/8GT/s/3MB (BX80677I37100) s1151 BOX
Материнская плата Gigabyte GA-Z270-HD3P (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI X299 SLI Plus (s2066, Intel X299, PCI-Ex16)
Материнская плата MSI B250M Bazooka OPT Boost (s1151, Intel B250, PCI-Ex16) + мышь MSI DS B1 в подарок !
Материнская плата Gigabyte GA-Z270-Gaming K3 (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock Z270 Pro4 (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock H270M Pro4 (s1151, Intel H270, PCI-Ex16)
Материнская плата MSI Z270 Tomahawk (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI B250 PC Mate (s1151, Intel B250, PCI-Ex16)
Материнская плата ASRock AB350 Pro4 (sAM4, AMD B350, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-D3H R2 (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI X370 Gaming Pro (sAM4, AMD X370, PCI-Ex16)
Материнская плата MSI B250I PRO (s1151, Intel B250, PCI-Ex16)
Материнская плата Gigabyte GA-Z170-D3H (s1151, Intel Z170, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-S2HP (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI H110 PC Mate (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI H110M Grenade (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus Prime Z270-P (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-H270-Gaming 3 (s1151, Intel H270, PCI-Ex16)
Материнская плата ASRock H110M-DVS R3.0 (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus Maximus VIII Gene (s1151, Intel Z170, PCI-Ex16)
Материнская плата Gigabyte Z370 AORUS Ultra Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата ASRock FATAL1TY X370 Gaming X (sAM4, AMD X370, PCI-Ex16)
Материнская плата Gigabyte Z370 AORUS Gaming 7 (s1151, Intel Z370, PCI-Ex16)
Материнская плата Gigabyte Z370 AORUS Gaming K3 (s1151, Intel Z370, PCI-Ex16)
Материнская плата MSI H110M Gaming (s1151, Intel H110M, PCI-Ex16)
Материнская плата MSI A320M Gaming Pro (sAM4, AMD A320, PCI-Ex16)
Материнская плата Gigabyte X299 UD4 (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus Maximus IX Apex (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus ROG Strix B350-F Gaming (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus A88X-PLUS/USB 3.1 (sFM2+, AMD A88X, PCI-Ex16)
Материнская плата Asus N3050M-E (Intel Celeron N3050, SoC, PCI-Ex16)
Материнская плата Asus ROG Strix X299-XE Gaming (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus ROG Strix Z370-G Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Crosshair VI Hero (WI-FI AC) (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus Prime Q270M-C (s1151, Intel Q270, PCI-Ex16)
Материнская плата Asus Prime H270-Pro (s1151, Intel H270, PCI-Ex16)
Материнская плата Gigabyte GA-AX370-Gaming K7 (sAM4, AMD X370, PCI-Ex16) + USB3.0 Kingston DataTraveler DT50/32GB в подарок !
Материнская плата Asus H110M-PLUS (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus Prime H270M-Plus (s1151, Intel H270, PCI-Ex16)
Материнская плата ASRock FM2A68M-HD+ (sFM2/FM2+, AMD A68H, PCI-Ex16)
Материнская плата Asus M5A97 R2.0 (sAM3+, AMD 970/SB950, PCI-Ex16)
Материнская плата MSI Z270 Gaming M7 (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI Z370 Krait Gaming (s1151, Intel Z370, PCI-Ex16)
